,level_0,index,Make,Model,Year,Mileage,Fuel Type,Engine Size (Litres),Current Country of Reg.,Imported,Total Owners,Price,Depreciation,Wear
0,0,0,Mitsubishi,Outlander,2015,5.0,Petrol Plug-in Hybrid,2.0,1,0,2.0,12750,0.0,4.0
1,1,1,Volkswagen,Arteon,2024,1.0,Diesel,2.0,1,1,2.0,53830,3.87,1.0
2,2,2,Volvo,V90,2017,4.0,Diesel,2.0,1,1,2.0,34991,6.62,4.0
3,3,3,BMW,X3,2014,5.0,Diesel,2.0,1,1,2.0,18950,7.22,3.0
4,4,4,BMW,3-Series,2019,3.0,Petrol Plug-in Hybrid,2.0,1,0,1.0,32000,7.22,3.0
5,5,5,Ford,Fiesta,2012,4.0,Petrol,1.2,1,1,1.0,7295,4.27,2.0
6,6,6,Mercedes-Benz,A-Class,2013,3.0,Petrol,1.6,1,0,1.0,13800,8.98,2.0
7,7,7,Volkswagen,T-Roc,2023,2.0,Diesel,2.0,1,1,1.0,33995,3.87,5.0
8,8,8,Peugeot,Partner,2022,2.0,Diesel,1.5,1,1,1.0,17886,4.14,3.0
9,9,10,Nissan,Micra,2018,1.0,Petrol,1.0,1,1,2.0,12995,4.15,1.0
10,10,11,Audi,A6,2018,4.0,Diesel,2.0,1,0,4.0,29900,6.81,4.0
11,11,12,Toyota,Auris,2013,7.0,Diesel,1.4,1,1,2.0,8950,3.04,4.0
12,12,13,Ford,Kuga,2023,1.0,Petrol Plug-in Hybrid,2.5,1,1,1.0,43945,4.27,2.0
13,13,14,Toyota,Corolla,2022,2.0,Petrol Hybrid,1.8,1,1,1.0,28650,3.04,3.0
14,14,15,BMW,X5,2022,2.0,Petrol Plug-in Hybrid,3.0,1,1,2.0,82950,7.22,3.0
15,15,16,Hyundai,IONIQ 5,2023,1.0,Electric,1.6,1,1,1.0,38995,3.86,2.0
16,16,17,Suzuki,Swift,2020,2.0,Petrol,1.2,1,1,2.0,11900,2.76,2.0
17,17,18,Land Rover,Range Rover,2020,2.0,Hybrid,2.0,1,0,2.0,61000,10.0,3.0
18,18,19,Ford,Kuga,2016,4.0,Diesel,2.0,1,1,2.0,16495,4.27,3.0
19,19,20,Volkswagen,T-Roc,2023,1.0,Petrol,1.0,1,1,1.0,32900,3.87,2.0
20,20,21,Audi,A1,2012,6.0,Petrol,1.2,1,1,3.0,6950,6.81,4.0
21,21,22,Toyota,Yaris,2020,1.0,Hybrid,1.5,1,1,2.0,20950,3.04,1.0
22,22,23,Hyundai,i30,2017,4.0,Diesel,1.6,1,1,1.0,13995,3.86,4.0
23,23,24,Audi,A3,2019,4.0,Diesel,1.6,1,1,1.0,21750,6.81,5.0
24,24,25,Renault,Kadjar,2016,3.0,Diesel,1.5,1,1,2.0,13500,3.78,2.0
25,26,27,Peugeot,308,2011,10.0,Diesel,1.6,1,0,3.0,2750,4.14,5.0
26,27,28,Volkswagen,Golf,2016,2.0,Petrol,2.0,1,1,2.0,24950,3.87,2.0
27,28,29,Hyundai,KONA,2018,3.0,Petrol,1.0,1,1,1.0,15600,3.86,3.0
28,29,30,Volkswagen,Scirocco,2014,6.0,Diesel,2.0,1,0,2.0,11950,3.87,4.0
29,30,31,Honda,Fit,2013,3.0,Petrol Hybrid,1.3,1,0,1.0,8350,4.7,2.0
30,31,32,Toyota,Yaris Cross,2022,2.0,Petrol Hybrid,1.5,1,1,1.0,27750,3.04,4.0
31,32,33,Hyundai,Tucson,2017,6.0,Diesel,1.7,1,1,2.0,16950,3.86,5.0
32,33,34,Toyota,Aygo,2010,5.0,Petrol,1.0,1,1,2.0,3950,3.04,3.0
33,34,35,Nissan,Micra,2021,1.0,Petrol,1.0,1,0,1.0,17950,4.15,1.0
34,35,36,Toyota,Corolla,2012,7.0,Diesel,1.4,1,1,1.0,6450,3.04,4.0
35,36,37,Mercedes-Benz,C-Class,2012,5.0,Diesel,2.1,1,1,5.0,10999,8.98,3.0
36,37,38,Volkswagen,Golf,2018,4.0,Diesel,1.6,1,1,2.0,20000,3.87,4.0
37,38,39,Skoda,Octavia,2017,5.0,Diesel,1.6,1,0,1.0,15950,4.49,4.0
38,39,40,Volkswagen,Golf,2022,2.0,Diesel,2.0,1,1,1.0,32995,3.87,4.0
39,40,41,Audi,A4,2014,6.0,Diesel,2.0,1,0,1.0,10950,6.81,4.0
40,41,42,Toyota,C-HR,2018,3.0,Petrol Hybrid,1.8,1,1,1.0,21995,3.04,3.0
41,42,43,Audi,A3,2016,5.0,Petrol,1.4,1,0,2.0,16995,6.81,4.0
42,43,44,Volkswagen,Passat,2002,4.0,Diesel,1.9,1,1,3.0,4990,3.87,2.0
43,44,46,Volkswagen,Taigo,2023,1.0,Petrol,1.0,1,1,1.0,28995,3.87,4.0
44,45,48,Ford,Focus,2013,6.0,Diesel,1.6,1,0,2.0,6750,4.27,4.0
45,46,49,Volkswagen,Golf,2015,4.0,Petrol,1.2,1,0,1.0,14950,3.87,3.0
46,47,50,Opel,Mokka,2014,3.0,Diesel,1.7,1,1,2.0,10690,3.5,2.0
47,48,52,Volvo,XC60,2017,5.0,Diesel,2.0,1,0,2.0,27991,6.62,4.0
48,49,53,Lexus,RX,2012,7.0,Petrol Hybrid,3.5,1,0,2.0,17950,3.64,4.0
49,50,54,Citroen,C4 Cactus,2015,5.0,Diesel,1.6,1,1,3.0,10495,3.44,3.0
50,51,55,Volkswagen,Polo,2014,4.0,Petrol,1.0,1,0,3.0,9950,3.87,3.0
51,52,56,Ford,C-MAX,2013,4.0,Diesel,1.6,1,0,1.0,6750,4.27,3.0
52,53,57,Skoda,Kodiaq,2021,3.0,Diesel,2.0,1,1,1.0,43995,4.49,4.0
53,54,58,Volkswagen,Golf,2013,6.0,Diesel,1.6,1,1,3.0,7000,3.87,4.0
54,55,59,Nissan,Qashqai,2019,4.0,Diesel,1.5,0,1,1.0,21950,4.15,4.0
55,56,60,Land Rover,Discovery,2016,5.0,Diesel,3.0,1,1,4.0,26829,10.0,4.0
56,57,61,Mercedes-Benz,B-Class,2014,1.0,Petrol,1.6,1,0,1.0,13990,8.98,1.0
57,58,63,Mini,Countryman,2013,7.0,Petrol,1.6,1,0,2.0,6950,3.46,4.0
58,59,64,Toyota,Prius,2013,8.0,Petrol Hybrid,1.8,1,0,3.0,7200,3.04,5.0
59,60,65,Volkswagen,Golf,2023,1.0,Petrol,1.0,1,1,1.0,35495,3.87,4.0
60,61,66,Nissan,Leaf,2020,3.0,Electric,1.6,0,1,1.0,24900,4.15,3.0
61,62,67,BMW,X5,2021,3.0,Petrol Plug-in Hybrid,3.0,1,1,1.0,89995,7.22,4.0
62,63,68,Renault,Captur,2016,4.0,Diesel,1.5,0,1,3.0,8600,3.78,3.0
63,64,69,Mazda,3,2013,8.0,Diesel,1.6,1,1,2.0,4800,4.94,5.0
64,65,70,Volvo,S80,2011,7.0,Diesel,2.0,1,1,4.0,5000,6.62,4.0
65,66,71,Volkswagen,Golf,2017,4.0,Diesel,2.0,1,0,1.0,17500,3.87,4.0
66,67,72,Land Rover,Discovery Sport,2019,3.0,Diesel,2.0,1,1,2.0,43950,10.0,4.0
67,68,73,Volkswagen,Up!,2019,1.0,Petrol,1.0,1,0,2.0,12500,3.87,2.0
68,69,74,Ford,Focus,2010,8.0,Diesel,1.6,1,1,4.0,3250,4.27,4.0
69,70,75,Ford,Fiesta,2011,2.0,Petrol,1.2,1,1,2.0,6975,4.27,2.0
70,71,76,Renault,Clio,2013,4.0,Petrol,1.1,1,1,4.0,6495,3.78,3.0
71,72,77,Hyundai,i30,2010,7.0,Diesel,1.6,1,1,4.0,2500,3.86,3.0
72,73,78,BMW,1-Series,2012,7.0,Petrol,1.6,1,1,2.0,8450,7.22,4.0
73,74,80,Volkswagen,Golf,2006,7.0,Diesel,2.0,1,0,9.0,4950,3.87,3.0
74,75,81,Vauxhall,Zafira,2014,6.0,Diesel,2.0,1,0,1.0,6750,2.74,4.0
75,76,82,Peugeot,5008,2016,5.0,Diesel,2.0,1,0,3.0,11999,4.14,4.0
76,77,83,Volkswagen,Polo,2019,1.0,Petrol,1.0,1,1,2.0,19950,3.87,1.0
77,78,84,Mercedes-Benz,CLA-Class,2022,2.0,Diesel,2.0,1,1,1.0,42950,8.98,5.0
78,79,86,Volkswagen,Polo,2018,2.0,Petrol,1.0,1,1,2.0,16950,3.87,2.0
79,80,87,Honda,Civic,2015,7.0,Diesel,1.6,1,0,2.0,9995,4.7,5.0
80,81,88,Nissan,Qashqai,2007,5.0,Diesel,1.5,1,1,3.0,2250,4.15,2.0
81,82,89,Honda,Jazz,2016,3.0,Petrol,1.5,1,1,1.0,10750,4.7,2.0
82,83,90,Skoda,Octavia,2020,2.0,Diesel,1.6,1,1,2.0,25950,4.49,3.0
83,84,91,Volkswagen,T-Roc,2019,4.0,Petrol,1.0,1,0,1.0,18950,3.87,4.0
84,85,92,Volkswagen,Golf,2012,5.0,Diesel,1.6,1,0,6.0,8950,3.87,3.0
85,86,93,Mini,First,2013,5.0,Petrol,1.6,1,1,3.0,8500,3.46,3.0
86,87,94,SEAT,Ibiza,2010,4.0,Petrol,1.2,1,1,3.0,2750,4.06,2.0
87,88,95,Mitsubishi,Outlander,2014,4.0,Diesel,2.3,1,1,3.0,12995,0.0,3.0
88,89,96,Land Rover,Range Rover Sport,2019,2.0,Petrol Plug-in Hybrid,2.0,1,1,2.0,59950,10.0,2.0
89,90,97,Fiat,500,2014,3.0,Petrol,1.4,1,0,4.0,13900,2.19,2.0
90,91,98,Toyota,Corolla,2018,2.0,Petrol,1.5,1,0,1.0,13750,3.04,2.0
91,92,99,Ford,Kuga,2014,6.0,Diesel,2.0,1,1,4.0,10950,4.27,4.0
92,94,101,BMW,5-Series,2007,4.0,Diesel,3.0,1,1,13.0,6100,7.22,2.0
93,95,102,Volkswagen,Passat,2017,5.0,Diesel,1.6,1,1,1.0,15750,3.87,4.0
94,96,103,Nissan,Leaf,2018,4.0,Electric,1.6,1,1,2.0,12900,4.15,4.0
