index,Make,Model,Year,Mileage,Fuel Type,Engine Size (Litres),Current Country of Reg.,Imported,Total Owners,Price
0,Mitsubishi,Outlander,2015,199900,Petrol Plug-in Hybrid,2.0,Ireland,UK,2.0,12750
1,Volkswagen,Arteon,2024,4,Diesel,2.0,Ireland,No,2.0,53830
2,Volvo,V90,2017,143674,Diesel,2.0,Ireland,No,2.0,34991
3,BMW,X3,2014,181450,Diesel,2.0,Ireland,No,2.0,18950
4,BMW,3-Series,2019,92357,Petrol Plug-in Hybrid,2.0,Ireland,N. Ireland,1.0,32000
5,Ford,Fiesta,2012,120000,Petrol,1.2,Ireland,No,1.0,7295
6,Mercedes-Benz,A-Class,2013,104585,Petrol,1.6,Ireland,Unknown,1.0,13800
7,Volkswagen,T-Roc,2023,27071,Diesel,2.0,Ireland,No,1.0,33995
8,Peugeot,Partner,2022,36785,Diesel,1.5,Ireland,No,1.0,17886
10,Nissan,Micra,2018,120,Petrol,1.0,Ireland,No,2.0,12995
11,Audi,A6,2018,119000,Diesel,2.0,Ireland,UK,4.0,29900
12,Toyota,Auris,2013,244568,Diesel,1.4,Ireland,No,2.0,8950
13,Ford,Kuga,2023,8650,Petrol Plug-in Hybrid,2.5,Ireland,No,1.0,43945
14,Toyota,Corolla,2022,37698,Petrol Hybrid,1.8,Ireland,No,1.0,28650
15,BMW,X5,2022,31685,Petrol Plug-in Hybrid,3.0,Ireland,No,2.0,82950
16,Hyundai,IONIQ 5,2023,5721,Electric,1.6,Ireland,No,1.0,38995
17,Suzuki,Swift,2020,26000,Petrol,1.2,Ireland,No,2.0,11900
18,Land Rover,Range Rover,2020,57988,Hybrid,2.0,Ireland,UK,2.0,61000
19,Ford,Kuga,2016,141914,Diesel,2.0,Ireland,No,2.0,16495
20,Volkswagen,T-Roc,2023,5017,Petrol,1.0,Ireland,No,1.0,32900
21,Audi,A1,2012,235500,Petrol,1.2,Ireland,No,3.0,6950
22,Toyota,Yaris,2020,6124,Hybrid,1.5,Ireland,No,2.0,20950
23,Hyundai,i30,2017,136765,Diesel,1.6,Ireland,No,1.0,13995
24,Audi,A3,2019,150141,Diesel,1.6,Ireland,No,1.0,21750
25,Renault,Kadjar,2016,90000,Diesel,1.5,Ireland,No,2.0,13500
26,Ford,C-MAX,2008,352266,Diesel,1.6,Ireland,UK,3.0,1200
27,Peugeot,308,2011,382072,Diesel,1.6,Ireland,UK,3.0,2750
28,Volkswagen,Golf,2016,38922,Petrol,2.0,Ireland,No,2.0,24950
29,Hyundai,KONA,2018,91000,Petrol,1.0,Ireland,No,1.0,15600
30,Volkswagen,Scirocco,2014,223651,Diesel,2.0,Ireland,Unknown country,2.0,11950
31,Honda,Fit,2013,75000,Petrol Hybrid,1.3,Ireland,Unknown country,1.0,8350
32,Toyota,Yaris Cross,2022,38761,Petrol Hybrid,1.5,Ireland,No,1.0,27750
33,Hyundai,Tucson,2017,210000,Diesel,1.7,Ireland,No,2.0,16950
34,Toyota,Aygo,2010,187377,Petrol,1.0,Ireland,No,2.0,3950
35,Nissan,Micra,2021,4389,Petrol,1.0,Ireland,Unknown,1.0,17950
36,Toyota,Corolla,2012,277000,Diesel,1.4,Ireland,No,1.0,6450
37,Mercedes-Benz,C-Class,2012,199000,Diesel,2.1,Ireland,No,5.0,10999
38,Volkswagen,Golf,2018,118000,Diesel,1.6,Ireland,No,2.0,20000
39,Skoda,Octavia,2017,174845,Diesel,1.6,Ireland,Unknown,1.0,15950
40,Volkswagen,Golf,2022,40469,Diesel,2.0,Ireland,No,1.0,32995
41,Audi,A4,2014,225260,Diesel,2.0,Ireland,UK,1.0,10950
42,Toyota,C-HR,2018,72000,Petrol Hybrid,1.8,Ireland,No,1.0,21995
43,Audi,A3,2016,176990,Petrol,1.4,Ireland,Unknown,2.0,16995
44,Volkswagen,Passat,2002,144000,Diesel,1.9,Ireland,No,3.0,4990
46,Volkswagen,Taigo,2023,20000,Petrol,1.0,Ireland,No,1.0,28995
48,Ford,Focus,2013,218000,Diesel,1.6,Ireland,UK,2.0,6750
49,Volkswagen,Golf,2015,125502,Petrol,1.2,Ireland,Unknown country,1.0,14950
50,Opel,Mokka,2014,76471,Diesel,1.7,Ireland,No,2.0,10690
52,Volvo,XC60,2017,174000,Diesel,2.0,Ireland,UK,2.0,27991
53,Lexus,RX,2012,247786,Petrol Hybrid,3.5,Ireland,UK,2.0,17950
54,Citroen,C4 Cactus,2015,169499,Diesel,1.6,Ireland,No,3.0,10495
55,Volkswagen,Polo,2014,128720,Petrol,1.0,Ireland,UK,3.0,9950
56,Ford,C-MAX,2013,154464,Diesel,1.6,Ireland,N. Ireland,1.0,6750
57,Skoda,Kodiaq,2021,67000,Diesel,2.0,Ireland,No,1.0,43995
58,Volkswagen,Golf,2013,234000,Diesel,1.6,Ireland,No,3.0,7000
59,Nissan,Qashqai,2019,114035,Diesel,1.5,Northern Ireland,No,1.0,21950
60,Land Rover,Discovery,2016,189460,Diesel,3.0,Ireland,No,4.0,26829
61,Mercedes-Benz,B-Class,2014,19400,Petrol,1.6,Ireland,Unknown,1.0,13990
63,Mini,Countryman,2013,250000,Petrol,1.6,Ireland,Unknown country,2.0,6950
