,index,Make,Model,Year,Mileage,Fuel Type,Engine Size (Litres),Current Country of Reg.,Imported,Total Owners,Price
0,0,Mitsubishi,Outlander,2015,"199,900 km",Petrol Plug-in Hybrid,2.0,Ireland,UK,2.0,"€12,750"
1,1,Volkswagen,Arteon,2024,4 km,Diesel,2.0,Ireland,No,2.0,"€53,830"
2,2,Volvo,V90,2017,"143,674 km",Diesel,2.0,Ireland,No,2.0,"€34,991"
3,3,BMW,X3,2014,"181,450 km",Diesel,2.0,Ireland,No,2.0,"€18,950"
4,4,BMW,3-Series,2019,"57,400 mi",Petrol Plug-in Hybrid,2.0,Ireland,N. Ireland,1.0,"€32,000"
5,5,Ford,Fiesta,2012,"120,000 km",Petrol,1.2,Ireland,No,1.0,"€7,295"
6,6,Mercedes-Benz,A-Class,2013,"65,000 mi",Petrol,1.6,Ireland,Unknown,1.0,"€13,800"
7,7,Volkswagen,T-Roc,2023,"27,071 km",Diesel,2.0,Ireland,No,1.0,"€33,995"
8,8,Peugeot,Partner,2022,"36,785 km",Diesel,1.5,Ireland,No,1.0,"€17,886"
9,10,Nissan,Micra,2018,120 km,Petrol,1.0,Ireland,No,2.0,"€12,995"
10,11,Audi,A6,2018,"119,000 km",Diesel,2.0,Ireland,UK,4.0,"€29,900"
11,12,Toyota,Auris,2013,"152,000 mi",Diesel,1.4,Ireland,No,2.0,"€8,950"
12,13,Ford,Kuga,2023,"8,650 km",Petrol Plug-in Hybrid,2.5,Ireland,No,1.0,"€43,945"
13,14,Toyota,Corolla,2022,"37,698 km",Petrol Hybrid,1.8,Ireland,No,1.0,"€28,650"
14,15,BMW,X5,2022,"31,685 km",Petrol Plug-in Hybrid,3.0,Ireland,No,2.0,"€82,950"
15,16,Hyundai,IONIQ 5,2023,"5,721 km",Electric,1.6,Ireland,No,1.0,"€38,995"
16,17,Suzuki,Swift,2020,"26,000 km",Petrol,1.2,Ireland,No,2.0,"€11,900"
17,18,Land Rover,Range Rover,2020,"36,040 mi",Hybrid,2.0,Ireland,UK,2.0,"€61,000"
18,19,Ford,Kuga,2016,"141,914 km",Diesel,2.0,Ireland,No,2.0,"€16,495"
19,20,Volkswagen,T-Roc,2023,"5,017 km",Petrol,1.0,Ireland,No,1.0,"€32,900"
20,21,Audi,A1,2012,"235,500 km",Petrol,1.2,Ireland,No,3.0,"€6,950"
21,22,Toyota,Yaris,2020,"3,806 mi",Hybrid,1.5,Ireland,No,2.0,"€20,950"
22,23,Hyundai,i30,2017,"85,000 mi",Diesel,1.6,Ireland,No,1.0,"€13,995"
23,24,Audi,A3,2019,"93,313 mi",Diesel,1.6,Ireland,No,1.0,"€21,750"
24,25,Renault,Kadjar,2016,"90,000 km",Diesel,1.5,Ireland,No,2.0,"€13,500"
25,26,Ford,C-MAX,2008,"218,935 mi",Diesel,1.6,Ireland,UK,3.0,"€1,200"
26,27,Peugeot,308,2011,"237,459 mi",Diesel,1.6,Ireland,UK,3.0,"€2,750"
27,28,Volkswagen,Golf,2016,"24,190 mi",Petrol,2.0,Ireland,No,2.0,"€24,950"
28,29,Hyundai,KONA,2018,"91,000 km",Petrol,1.0,Ireland,No,1.0,"€15,600"
29,30,Volkswagen,Scirocco,2014,"139,000 mi",Diesel,2.0,Ireland,Unknown country,2.0,"€11,950"
30,31,Honda,Fit,2013,"75,000 km",Petrol Hybrid,1.3,Ireland,Unknown country,1.0,"€8,350"
31,32,Toyota,Yaris Cross,2022,"38,761 km",Petrol Hybrid,1.5,Ireland,No,1.0,"€27,750"
32,33,Hyundai,Tucson,2017,"210,000 km",Diesel,1.7,Ireland,No,2.0,"€16,950"
33,34,Toyota,Aygo,2010,"187,377 km",Petrol,1.0,Ireland,No,2.0,"€3,950"
34,35,Nissan,Micra,2021,"4,389 km",Petrol,1.0,Ireland,Unknown,1.0,"€17,950"
35,36,Toyota,Corolla,2012,"277,000 km",Diesel,1.4,Ireland,No,1.0,"€6,450"
36,37,Mercedes-Benz,C-Class,2012,"199,000 km",Diesel,2.1,Ireland,No,5.0,"€10,999"
37,38,Volkswagen,Golf,2018,"118,000 km",Diesel,1.6,Ireland,No,2.0,"€20,000"
38,39,Skoda,Octavia,2017,"108,667 mi",Diesel,1.6,Ireland,Unknown,1.0,"€15,950"
39,40,Volkswagen,Golf,2022,"40,469 km",Diesel,2.0,Ireland,No,1.0,"€32,995"
40,41,Audi,A4,2014,"140,000 mi",Diesel,2.0,Ireland,UK,1.0,"€10,950"
41,42,Toyota,C-HR,2018,"72,000 km",Petrol Hybrid,1.8,Ireland,No,1.0,"€21,995"
42,43,Audi,A3,2016,"110,000 mi",Petrol,1.4,Ireland,Unknown,2.0,"€16,995"
43,44,Volkswagen,Passat,2002,"144,000 km",Diesel,1.9,Ireland,No,3.0,"€4,990"
44,46,Volkswagen,Taigo,2023,"20,000 km",Petrol,1.0,Ireland,No,1.0,"€28,995"
45,48,Ford,Focus,2013,"218,000 km",Diesel,1.6,Ireland,UK,2.0,"€6,750"
46,49,Volkswagen,Golf,2015,"78,000 mi",Petrol,1.2,Ireland,Unknown country,1.0,"€14,950"
47,50,Opel,Mokka,2014,"76,471 km",Diesel,1.7,Ireland,No,2.0,"€10,690"
48,52,Volvo,XC60,2017,"174,000 km",Diesel,2.0,Ireland,UK,2.0,"€27,991"
49,53,Lexus,RX,2012,"154,000 mi",Petrol Hybrid,3.5,Ireland,UK,2.0,"€17,950"
50,54,Citroen,C4 Cactus,2015,"169,499 km",Diesel,1.6,Ireland,No,3.0,"€10,495"
51,55,Volkswagen,Polo,2014,"80,000 mi",Petrol,1.0,Ireland,UK,3.0,"€9,950"
52,56,Ford,C-MAX,2013,"96,000 mi",Diesel,1.6,Ireland,N. Ireland,1.0,"€6,750"
53,57,Skoda,Kodiaq,2021,"67,000 km",Diesel,2.0,Ireland,No,1.0,"€43,995"
54,58,Volkswagen,Golf,2013,"234,000 km",Diesel,1.6,Ireland,No,3.0,"€7,000"
55,59,Nissan,Qashqai,2019,"70,873 mi",Diesel,1.5,Northern Ireland,No,1.0,"€21,950"
56,60,Land Rover,Discovery,2016,"117,750 mi",Diesel,3.0,Ireland,No,4.0,"€26,829"
57,61,Mercedes-Benz,B-Class,2014,"19,400 km",Petrol,1.6,Ireland,Unknown,1.0,"€13,990"
58,63,Mini,Countryman,2013,"250,000 km",Petrol,1.6,Ireland,Unknown country,2.0,"€6,950"
59,64,Toyota,Prius,2013,"320,000 km",Petrol Hybrid,1.8,Ireland,Unknown country,3.0,"€7,200"
60,65,Volkswagen,Golf,2023,"20,379 km",Petrol,1.0,Ireland,No,1.0,"€35,495"
